"order_year","product_name","current_sales","avg_sales","avg_diff","avg_change","previous_sales","previous_diff","previous_change"
2012,All-Purpose Bike Stand,159,13197.0000,-13038.0000,below avg,,,no change 
2013,All-Purpose Bike Stand,37683,13197.0000,24486.0000,above avg,159,37524,increase
2014,All-Purpose Bike Stand,1749,13197.0000,-11448.0000,below avg,37683,-35934,decrease
2012,AWC Logo Cap,72,6570.0000,-6498.0000,below avg,,,no change 
2013,AWC Logo Cap,18891,6570.0000,12321.0000,above avg,72,18819,increase
2014,AWC Logo Cap,747,6570.0000,-5823.0000,below avg,18891,-18144,decrease
2013,Bike Wash - Dissolver,6960,3636.0000,3324.0000,above avg,,,no change 
2014,Bike Wash - Dissolver,312,3636.0000,-3324.0000,below avg,6960,-6648,decrease
2013,Classic Vest- L,11968,6240.0000,5728.0000,above avg,,,no change 
2014,Classic Vest- L,512,6240.0000,-5728.0000,below avg,11968,-11456,decrease
2013,Classic Vest- M,11840,6368.0000,5472.0000,above avg,,,no change 
2014,Classic Vest- M,896,6368.0000,-5472.0000,below avg,11840,-10944,decrease
2012,Classic Vest- S,64,3648.0000,-3584.0000,below avg,,,no change 
2013,Classic Vest- S,10368,3648.0000,6720.0000,above avg,64,10304,increase
2014,Classic Vest- S,512,3648.0000,-3136.0000,below avg,10368,-9856,decrease
2012,Fender Set - Mountain,110,15554.0000,-15444.0000,below avg,,,no change 
2013,Fender Set - Mountain,44484,15554.0000,28930.0000,above avg,110,44374,increase
2014,Fender Set - Mountain,2068,15554.0000,-13486.0000,below avg,44484,-42416,decrease
2012,Half-Finger Gloves- L,24,3544.0000,-3520.0000,below avg,,,no change 
2013,Half-Finger Gloves- L,10248,3544.0000,6704.0000,above avg,24,10224,increase
2014,Half-Finger Gloves- L,360,3544.0000,-3184.0000,below avg,10248,-9888,decrease
2012,Half-Finger Gloves- M,24,3992.0000,-3968.0000,below avg,,,no change 
2013,Half-Finger Gloves- M,11376,3992.0000,7384.0000,above avg,24,11352,increase
2014,Half-Finger Gloves- M,576,3992.0000,-3416.0000,below avg,11376,-10800,decrease
2012,Half-Finger Gloves- S,24,3896.0000,-3872.0000,below avg,,,no change 
2013,Half-Finger Gloves- S,11064,3896.0000,7168.0000,above avg,24,11040,increase
2014,Half-Finger Gloves- S,600,3896.0000,-3296.0000,below avg,11064,-10464,decrease
2013,Hitch Rack - 4-Bike,36840,19620.0000,17220.0000,above avg,,,no change 
2014,Hitch Rack - 4-Bike,2400,19620.0000,-17220.0000,below avg,36840,-34440,decrease
2012,HL Mountain Tire,140,16286.6667,-16146.6667,below avg,,,no change 
2013,HL Mountain Tire,46935,16286.6667,30648.3333,above avg,140,46795,increase
2014,HL Mountain Tire,1785,16286.6667,-14501.6667,below avg,46935,-45150,decrease
2012,HL Road Tire,132,9438.0000,-9306.0000,below avg,,,no change 
2013,HL Road Tire,26532,9438.0000,17094.0000,above avg,132,26400,increase
2014,HL Road Tire,1650,9438.0000,-7788.0000,below avg,26532,-24882,decrease
2012,Hydration Pack - 70 oz.,110,13438.3333,-13328.3333,below avg,,,no change 
2013,Hydration Pack - 70 oz.,38940,13438.3333,25501.6667,above avg,110,38830,increase
2014,Hydration Pack - 70 oz.,1265,13438.3333,-12173.3333,below avg,38940,-37675,decrease
2013,LL Mountain Tire,20125,10775.0000,9350.0000,above avg,,,no change 
2014,LL Mountain Tire,1425,10775.0000,-9350.0000,below avg,20125,-18700,decrease
2012,LL Road Tire,105,7301.0000,-7196.0000,below avg,,,no change 
2013,LL Road Tire,20622,7301.0000,13321.0000,above avg,105,20517,increase
2014,LL Road Tire,1176,7301.0000,-6125.0000,below avg,20622,-19446,decrease
